Grid No,Plot No,Total,Density,Spread,Hermit Crab,Canopy ,Depth ,Creek Dist, Mouth Dist,Mouth D2,Salinity ,Fish abundance,Fish richness
15,5,0,0,0,0,0,80.7,2.83,88.03,112.42,45.81,7,1
15,3,0,0,0,0,0,70.8,4.02,89.25,152.36,45.81,0,0
16,5,374,53.42857143,0.058048697,10,98.04,70.4,4.92,93.61,301.88,45.08,0,0
16,3,401,57.28571429,0.371361805,15,65.14,70.8,5.03,73.46,269.2,45.08,0,0
4,4,210,30,0.625980712,0,79.2,70,5.19,282.74,518.07,35.81,4,2
16,1,388,55.42857143,0.161317698,12,89.34,80.7,5.23,94.81,298.14,45.08,0,0
4,3,199,28.42857143,0.447650045,0,93.24,80.4,5.77,302.92,547.23,35.81,0,0
21,5,177,25.28571429,0.734825349,5,96.36,110,6.39,126.26,161.17,30.8,1,1
15,1,0,0,0,0,0,70.6,15.47,81.71,118.68,45.73,15,1
4,2,141,20.14285714,0.5994761,0,95.84,50.6,15.74,273.36,537.4,35.81,0,0
10,5,231,33,0.596387451,0,92.2,30.5,17.48,188.86,403.13,40.08,19,3
15,4,186,26.57142857,0.631188291,13,60,70,18.29,138.53,163.03,45.08,2,2
15,2,0,0,0,0,0,80.5,18.98,102.91,133.95,45.81,0,0
21,3,0,0,0,0,0,90.2,20.03,150.8,190.3,30.8,25,1
16,2,276,39.42857143,0.178053078,17,67.02,60.4,24.33,91.49,306.98,45.08,40,1
21,2,0,0,0,3,0,90.4,25.56,181.58,208.71,30.8,2,2
21,1,21,3,0.577350269,5,76.6,60,30.82,124.91,161.41,30.8,26,3
10,1,234,33.42857143,0.44062019,1,95.32,30.6,32.11,186.67,401.35,40.08,3,1
16,4,318,45.42857143,0.205263467,3,54.21,50.4,32.98,87.24,265.58,45.08,1,1
9,2,141,20.14285714,0.549420376,11,84.66,40.7,34.92,192.63,457.96,40.08,4,3
4,1,106,15.14285714,0.955783455,0,95.32,20.6,35.65,244.6,496.88,35.81,4,2
4,5,190,27.14285714,1.005465213,1,71.14,50.2,36.33,273.53,513.89,35.81,2,2
13,4,239,34.14285714,0.24529679,10,84.4,30.2,38.99,36.08,23.45,45.73,20,1
17,4,90,12.85714286,0.713451011,2,12.12,60.4,42.06,89.38,134.68,45.08,0,0
9,3,460,65.71428571,0.253376692,15,94.8,80.2,42.39,145.69,340.72,40.08,5,4
9,4,257,36.71428571,0.172058954,17,87.78,50.9,42.7,181.62,371.7,40.08,5,2
17,5,243,34.71428571,0.090659597,0,56.02,70.8,43.09,79.94,286.45,45.08,39,2
10,3,181,25.85714286,0.994413749,9,79.72,40.6,43.63,170.54,399.5,40.08,2,2
5,3,145,20.71428571,0.542406961,1,95.06,60,45.76,306.36,525.15,30.8,3,2
10,2,408,58.28571429,0.265370746,1,99.22,30,45.9,212.91,411.72,40.08,29,2
21,4,276,39.42857143,0.345851632,3,84.4,50,48.08,171.16,204.4,30.8,1,1
3,3,496,70.85714286,0.084059123,0,95.38,50,52.69,96.88,144.91,40.81,4,1
9,1,291,41.57142857,0.433403137,8,96.88,40,55.79,167.96,376.1,40.08,3,2
13,3,137,19.57142857,1.208354423,6,100,50.3,56.11,19.8,14.32,45.73,110,1
14,5,17,2.428571429,1.059368052,0,20.52,80.4,57.3,126.34,134.02,45.31,83,2
17,1,182,26,0.117501941,2,89.17,90.2,57.89,55.78,108.86,45.08,50,1
13,2,218,31.14285714,0.340542912,2,98.96,40.3,58.6,44.76,14.14,45.73,0,0
5,5,186,26.57142857,0.416738923,0,92.98,80,59.29,329.75,539.85,30.8,0,0
10,4,248,35.42857143,0.436012473,7,99.74,30.5,63.85,203.95,400.9,40.08,4,3
17,2,178,25.42857143,0.193799869,4,67.3,70,64.75,80.23,135.3,45.08,30,1
14,1,198,28.28571429,0.808948398,13,89.6,50.7,66.2,110.77,100.9,45.08,41,2
9,5,433,61.85714286,0.16940653,0,98.7,40.4,68.32,167.51,160.51,40.08,2,2
5,2,132,18.85714286,0.434534255,0,96.88,30,69.59,332.7,530.28,30.8,3,2
13,1,188,26.85714286,0.744813818,5,67.76,30,70.45,61.23,34.32,45.73,16,1
22,4,115,16.42857143,0.451225315,4,79.72,52.3,71.16,246.37,217.15,30.8,4,2
17,3,304,43.42857143,0.116548301,3,45.81,60.8,72.97,103,132.87,45.08,8,2
14,2,127,18.14285714,0.999462521,23,99.22,60.2,79.47,140.41,104.41,45.08,75,2
3,5,387,55.28571429,0.065811202,0,75.56,50,80.74,194.38,142.83,40.81,6,2
3,1,541,77.28571429,0.288814664,0,94.8,55,81.36,204.95,144.92,40.81,8,5
13,5,79,11.28571429,1.751141272,3,100,60.4,81.95,43.13,27.08,45.73,13,3
11,4,335,47.85714286,0.424034728,1,98.18,40.4,85.87,222.84,207.9,40.08,0,0
22,1,95,13.57142857,0.418677512,15,76.86,60.2,88.87,253.23,234.29,30.8,0,0
5,4,125,17.85714286,0.538521433,0,97.4,75,90.26,341.73,528.13,30.8,19,3
14,3,7,1,1.414213562,0,19.04,60,91.58,141.77,120.12,45.31,2,2
5,1,96,13.71428571,0.736078354,0,63.6,25,92.39,359.17,534.74,30.8,3,3
3,4,579,82.71428571,0.141286089,0,91.68,60,93.9,212.19,157.89,40.81,3,2
3,2,554,79.14285714,0.108798507,0,98.7,40,95.92,227.54,465.26,40.81,6,3
2,4,116,16.57142857,0.677240999,0,86.22,18,96.48,275.8,470.94,30.8,1,1
2,2,260,37.14285714,0.297549161,2,95.32,6,96.98,295.52,535.49,30.8,2,2
14,4,220,31.42857143,0.505050253,11,78.68,40.2,99.57,133.51,128,45.08,70,1
12,4,153,21.85714286,0.273782624,12,86.74,30.4,111.66,12.21,8.41,45.73,2,2
22,5,93,13.28571429,0.554328626,5,86.48,40.5,113.19,232.39,227.3,30.8,0,0
22,3,121,17.28571429,0.64222197,16,86.22,48.3,114.97,254.47,225.17,30.8,3,1
12,2,306,43.71428571,0.351602197,1,98.96,40.3,116.1,30.5,12.62,45.73,2,1
11,2,381,54.42857143,0.483060866,17,95.06,30.7,118.06,243.11,202.12,40.08,8,1
11,1,353,50.42857143,0.374652363,2,92.72,20.8,118.48,264.72,228.52,40.08,5,1
11,3,279,39.85714286,0.211621354,3,97.4,50,119,231.31,199.51,40.08,1,1
2,3,129,18.42857143,0.576708065,2,95.06,14,120.94,161.85,473.46,30.8,2,1
2,1,75,10.71428571,0.312883838,9,93.5,7,124.98,272.72,505.36,30.8,3,2
2,5,92,13.14285714,0.652204106,0,61.52,13,126.17,266.94,553,30.8,1,1
12,1,386,55.14285714,0.289290594,4,96.62,50.3,126.54,23.71,13.75,45.73,10,1
22,2,234,33.42857143,0.348799289,12,87.52,45.8,139.19,284.62,232.18,30.8,5,2
12,3,301,43,0.498962327,10,88.56,50.8,139.58,8.98,4.56,45.73,3,2
6,5,204,29.14285714,0.38180789,19,97.4,60.5,140.1,375.77,530.24,30.8,3,1
11,5,153,21.85714286,0.568026126,2,86.22,20.7,142.7,263.71,210.33,40.08,0,0
6,3,242,34.57142857,0.710663715,0,96.88,50.8,150.36,369.69,522.81,30.8,4,1
12,5,226,32.28571429,0.303326034,18,94.54,50.2,157.34,17.63,15.14,45.73,8,1
18,5,39,5.571428571,1.670475595,4,95.06,32.3,165.9,354,514.69,30.8,20,1
6,2,161,23,0.304347826,3,85.96,20.5,166.46,383.63,511.56,30.8,6,2
1,3,175,25,0.447213595,1,83.88,9.8,167.37,247.21,136.11,30.8,0,0
1,4,148,21.14285714,1.107682296,4,92.98,9,170.3,224.38,138.6,30.8,0,0
18,2,144,20.57142857,0.381586533,10,97.4,33,173.08,376.67,505.54,30.8,32,2
18,3,244,34.85714286,0.276874521,47,98.96,23.3,173.76,366.11,486.33,30.8,10,1
1,1,191,27.28571429,0.556905,9,95.06,15,180.76,267.75,136.52,30.8,0,0
18,1,375,53.57142857,0.339585804,0,100,30.2,184.76,395.27,509.71,30.8,28,2
6,4,124,17.71428571,0.322177167,1,93.24,40.5,189,418.28,533.18,30.8,16,2
6,1,53,7.571428571,0.892062489,6,40.72,30.7,189.36,407.91,536.52,30.8,0,0
18,4,153,21.85714286,0.732230364,34,95.84,26.8,191.21,383.62,502.98,30.8,3,1
1,2,111,15.85714286,0.803840577,1,95.58,10,200.38,274.07,143.62,30.8,0,0
20,5,124,17.71428571,0.540202201,10,93.76,20.4,241.11,386.29,516.25,30.8,5,1
7,5,312,44.57142857,0.598924611,5,95.58,60,250.65,510.61,553,40.81,0,0
20,3,206,29.42857143,0.50852073,4,94.28,40,253.14,383.4,501.82,30.72,0,0
19,3,180,25.71428571,0.49584695,6,96.88,60,255.59,432.29,502.16,30.8,40,1
19,4,137,19.57142857,0.548611896,14,98.44,40.7,258.85,452.46,517.69,30.8,30,1
1,5,60,8.571428571,1.338462357,1,94.8,29,265.15,291.1,143.11,30.8,0,0
19,1,114,16.28571429,0.838717601,0,91.68,20,271.97,473.34,518.02,30.8,3,1
7,1,214,30.57142857,0.344032304,1,56.32,40.9,272.36,530.52,553,40.81,0,0
20,2,140,20,0.497493719,6,98.44,10.8,272.6,414.35,515.85,30.72,7,1
20,1,54,7.714285714,0.606699377,0,79.2,9,274.24,430.83,530.44,30.72,0,0
7,4,210,30,0.385381004,0,94.94,60,275.97,544.54,553,40.81,0,0
7,2,205,29.28571429,0.582397624,9,88.56,70,276.92,521.1,553,40.81,0,0
19,2,73,10.42857143,0.748635672,12,99.48,30.9,277.22,477.6,515.33,30.8,3,1
19,5,120,17.14285714,0.688093178,2,96.1,30.9,294.36,472.15,32.41,30.8,6,1
20,4,131,18.71428571,0.65131997,21,92.46,20.7,297.91,426.22,519.21,30.72,9,2
7,3,175,25,0.537152989,2,95.58,80,299.7,558.63,553,40.81,0,0
8,5,372,53.14285714,0.518917015,1,97.14,50.4,318.61,593.66,553,30.8,0,0
8,2,170,24.28571429,0.40881295,12,92.2,50.7,337.05,600.9,553,30.8,6,1
8,1,85,12.14285714,0.923710486,5,79.2,40.5,341.2,612.96,553,35.81,0,0
8,3,182,26,0.548891657,10,98.18,40.9,347.7,625.88,553,30.8,0,0
8,4,178,25.42857143,0.586318792,0,93.76,50.2,362.96,631.36,553,30.8,0,0
