Name,Type,sw,fl
PN2,Reg,23,29.5637
PN2,Reg,21.9,28.51672
PN2,Reg,22.7,29.27816
PN2,Reg,22.42,29.011656
PN2,Reg,26.1,32.51428
PN2,Reg,23.44,29.982492
PN2,Reg,28,34.3227
PN2,Reg,24.26,30.762968
PN2,Reg,21.96,28.573828
PN2,Reg,19.9,26.61312
PN2,Reg,24.46,30.953328
PN2,Reg,25.24,31.695732
PN2,Reg,25.88,32.304884
PN2,Reg,26.26,32.666568
PN2,Reg,25.4,31.84802
PN2,Reg,22.08,28.688044
PN2,Reg,25.46,31.905128
PN2,Reg,24.66,31.143688
PN2,Reg,24.2,30.70586
PN2,Reg,23.38,29.925384
PN2,Reg,24.08,30.591644
PN2,Reg,24.14,30.648752
PN2,Reg,21.72,28.345396
PN2,Reg,25,31.4673
PN2,Reg,22.56,29.144908
PN2,Reg,23.56,30.096708
PN2,Reg,26.5,32.895
PN2,Reg,20.7,27.37456
PN2,Reg,22.9,29.46852
PN2,Reg,23.44,29.982492
PN2,Reg,23.32,29.868276
PN2,Reg,21.98,28.592864
PN5,Reg,21.42,28.059856
PN5,Reg,21.66,28.288288
PN5,Reg,22.48,29.068764
PN5,Reg,22.86,29.430448
PN5,Reg,23.1,29.65888
PN5,Reg,21.68,28.307324
PN5,Reg,23.18,29.735024
PN5,Reg,22.88,29.449484
PN5,Reg,23.92,30.439356
PN4,Reg,25.62,32.057416
PN4,Reg,18,24.8047
PN4,Reg,18.3,25.09024
PN4,Reg,21.08,27.736244
PN4,Reg,21.74,28.364432
PN4,Reg,23.42,29.963456
PN4,Reg,24.1,30.61068
PN4,Reg,23.54,30.077672
PN4,Reg,20.26,26.955768
PN4,Reg,20.5,27.1842
PN4,Reg,21.34,27.983712
PN4,Reg,22.12,28.726116
PN4,Reg,20.8,27.46974
PN4,Reg,22.26,28.859368
PN4,Reg,21,27.6601
PN4,Reg,22.72,29.297196
PN4,Reg,22.84,29.411412
PN4,Reg,21.7,28.32636
PN8,Reg,24.38,30.877184
PN8,Reg,26.36,32.761748
PN8,Reg,23.2,29.75406
PN8,Reg,26.94,33.313792
PN8,Reg,24.94,31.410192
PN8,Reg,27.34,33.694512
PN8,Reg,28.84,35.122212
PN8,Reg,27.36,33.713548
PN8,Reg,26.68,33.066324
PN8,Reg,24.48,30.972364
PN8,Reg,24.4,30.89622
PN8,Reg,29.9,36.13112
PN8,Reg,25.34,31.790912
PN8,Reg,29.2,35.46486
PN8,Reg,25.64,32.076452
PN8,Reg,25,31.4673
PN8,Reg,25.24,31.695732
PN8,Reg,24.9,31.37212
PN8,Reg,25.46,31.905128
PN8,Reg,26,32.4191
PN8,Reg,27.38,33.732584
PN8,Reg,28.98,35.255464
PN8,Reg,23.82,30.344176
PN8,Reg,21.44,28.078892
PN6,Reg,23.22,29.773096
PN6,Reg,24.76,31.238868
PN6,Reg,23.76,30.287068
PN6,Reg,24.06,30.572608
PN6,Reg,24.22,30.724896
PN6,Reg,24.24,30.743932
PN6,Reg,24.6,31.08658
PN6,Reg,20.94,27.602992
PN6,Reg,16.88,23.738684
PN6,Reg,25.62,32.057416
PN6,Reg,22.9,29.46852
PN6,Reg,24.76,31.238868
PN6,Reg,23.84,30.363212
PN6,Reg,20.32,27.012876
PN6,Reg,21.38,28.021784
PN6,Reg,25.24,31.695732
PN6,Reg,21.24,27.888532
PN6,Reg,24.08,30.591644
PN6,Reg,23.12,29.677916
PN6,Reg,20.8,27.46974
PN6,Reg,20.88,27.545884
PN9,Reg,19.94,26.651192
PN9,Reg,21.14,27.793352
PN9,Reg,22.78,29.354304
PN9,Reg,23.08,29.639844
PN9,Reg,17.34,24.176512
PN9,Reg,22.62,29.202016
PN9,Reg,24.36,30.858148
PN9,Reg,23.44,29.982492
PN9,Reg,21.44,28.078892
PN9,Reg,24.2,30.70586
PN9,Reg,22.7,29.27816
PN9,Reg,22,28.6119
PN9,Reg,22.64,29.221052
PN9,Reg,23.42,29.963456
PN9,Reg,24.06,30.572608
PN9,Reg,22.22,28.821296
PN9,Reg,20.68,27.355524
PN9,Reg,19.22,25.965896
PN9,Reg,20.1,26.80348
PN9,Reg,20.08,26.784444
PN9,Reg,21.78,28.402504
PN9,Reg,23.74,30.268032
PN9,Reg,20.06,26.765408
PN9,Reg,20.4,27.08902
PN9,Reg,22.46,29.049728
PN9,Reg,20.1,26.80348
PN9,Reg,24.22,30.724896
PN9,Reg,22.6,29.18298
PN1,Reg,25.84,32.266812
PN1,Reg,29.98,36.207264
PN1,Reg,27.64,33.980052
PN1,Reg,27.34,33.694512
PN1,Reg,28.68,34.969924
PN1,Reg,26.28,32.685604
PN1,Reg,25.98,32.400064
PN1,Reg,30.3,36.51184
PN1,Reg,28.4,34.70342
PN1,Reg,25.2,31.65766
PN1,Reg,25,31.4673
PN1,Reg,28.3,34.60824
PN1,Reg,24.58,31.067544
PN1,Reg,26.98,33.351864
PN1,Reg,21.14,27.793352
PN1,Reg,27.8,34.13234
PN1,Reg,29,35.2745
PN1,Reg,28.82,35.103176
PN1,Reg,27.68,34.018124
PN1,Reg,26.8,33.18054
PN1,Reg,26.48,32.875964
PN1,Reg,27.92,34.246556
PN1,Reg,29.24,35.502932
PN1,Reg,24.12,30.629716
PN1,Reg,27.34,33.694512
PN1,Reg,22.8,29.37334
PN1,Reg,24.82,31.295976
PN1,Reg,27.46,33.808728
PN1,Reg,28.58,34.874744
PN1,Reg,26.74,33.123432
PN1,Reg,25.02,31.486336
PN1,Reg,25.98,32.400064
PN1,Reg,26.96,33.332828
PN1,Reg,24.42,30.915256
PN1,Reg,27.78,34.113304
PN1,Reg,26.8,33.18054
PN1,Reg,28.68,34.969924
PN1,Reg,28,34.3227
PN1,Reg,26.7,33.08536
PN1,Reg,27.14,33.504152
PN1,Reg,26.02,32.438136
PN1,Reg,28.92,35.198356
PN1,Reg,16.4,23.28182
PN1,Reg,22.14,28.745152
PN1,Reg,26.72,33.104396
PN1,Reg,25.56,32.000308
PN1,Reg,29.12,35.388716
PN1,Reg,25.58,32.019344
PN1,Reg,27.28,33.637404
PN1,Reg,25.9,32.32392
PN1,Reg,23.92,30.439356
PN1,Reg,26,32.4191
PN1,Reg,27.12,33.485116
PN1,Reg,25.36,31.809948
PN1,Reg,28.4,34.70342
PN1,Reg,26.56,32.952108
PN1,Reg,28.32,34.627276
PN1,Reg,27.76,34.094268
PN1,Reg,28.74,35.027032
PN1,Reg,27.62,33.961016
PN1,Reg,24.72,31.200796
PN1,Reg,24.64,31.124652
PN1,Reg,27.6,33.94198
PN1,Reg,26.66,33.047288
PN1,Reg,24.84,31.315012
PN1,Reg,26.56,32.952108
PN1,Reg,26.76,33.142468
PN1,Reg,26.18,32.590424
PN1,Reg,27.3,33.65644
PN1,Reg,24.12,30.629716
PN1,Reg,24.84,31.315012
PN1,Reg,23.6,30.13478
PN1,Reg,24.4,30.89622
PN1,Reg,24.64,31.124652
PN1,Reg,22.9,29.46852
PN1,Reg,22.58,29.163944
PN1,Reg,20.28,26.974804
PN1,Reg,20.26,26.955768
PN2,Reg,23.06,29.620808
PN2,Reg,22.86,29.430448
PN2,Reg,24.86,31.334048
PN2,Reg,26.74,33.123432
PN2,Reg,23.82,30.344176
PN2,Reg,25.22,31.676696
PN2,Reg,25.22,31.676696
PN2,Reg,24.9,31.37212
PN2,Reg,20.76,27.431668
PN2,Reg,25.82,32.247776
PN2,Reg,25.78,32.209704
PN2,Reg,21.94,28.554792
PN2,Reg,24.62,31.105616
PN2,Reg,23.22,29.773096
PN2,Reg,24.68,31.162724
PN2,Reg,26.14,32.552352
PN2,Reg,25.32,31.771876
PN2,Reg,22.82,29.392376
PN2,Reg,26.6,32.99018
PN2,Reg,21.72,28.345396
PN2,Reg,22.26,28.859368
PN2,Reg,23.9,30.42032
PN2,Reg,24.26,30.762968
PN2,Reg,21.92,28.535756
PN2,Reg,22.6,29.18298
PN2,Reg,21.44,28.078892
PN2,Pro,26.54,26.54
PN2,Pro,30.4,30.4
PN2,Pro,30.76,30.76
PN2,Pro,31.26,31.26
PN2,Pro,29.02,29.02
PN2,Pro,29.46,29.46
PN2,Pro,29.9,29.9
PN2,Pro,30.3,30.3
PN2,Pro,30,30
PN2,Pro,28.78,28.78
PN2,Pro,29.7,29.7
PN2,Pro,28.66,28.66
PN2,Pro,30.34,30.34
PN2,Pro,30.64,30.64
PN2,Pro,26.88,26.88
PN2,Pro,28.96,28.96
PN2,Pro,28.44,28.44
PN2,Pro,29.1,29.1
PN4,Pro,26.12,26.12
PN4,Pro,28.5,28.5
PN4,Pro,30.18,30.18
PN4,Pro,24.12,24.12
PN4,Pro,25.38,25.38
PN4,Pro,22.46,22.46
PN4,Pro,25.56,25.56
PN4,Pro,27.62,27.62
PN8,Pro,34.28,34.28
PN8,Pro,30.62,30.62
PN8,Pro,34.82,34.82
PN8,Pro,34.6,34.6
PN8,Pro,37,37
PN8,Pro,32.86,32.86
PN8,Pro,33.62,33.62
PN8,Pro,31.72,31.72
PN8,Pro,30.28,30.28
PN8,Pro,31.98,31.98
PN8,Pro,31.6,31.6
PN8,Pro,32.46,32.46
PN6,Pro,32.18,32.18
PN6,Pro,30.26,30.26
PN6,Pro,31.9,31.9
PN6,Pro,30.58,30.58
PN6,Pro,24.84,24.84
PN6,Pro,32.56,32.56
PN6,Pro,31.74,31.74
PN6,Pro,20,20
PN6,Pro,30.34,30.34
PN6,Pro,34.2,34.2
PN6,Pro,35.98,35.98
PN6,Pro,29.44,29.44
PN1,Pro,34.08,34.08
PN1,Pro,38.14,38.14
PN1,Pro,32.76,32.76
PN1,Pro,34.84,34.84
PN1,Pro,35.12,35.12
PN1,Pro,37.88,37.88
PN1,Pro,34,34
PN1,Pro,34.7,34.7
PN1,Pro,33.46,33.46
PN1,Pro,34.46,34.46
PN1,Pro,36.94,36.94
PN1,Pro,34.96,34.96
PN1,Pro,36,36
PN1,Pro,34.28,34.28
PN1,Pro,34.82,34.82
PN1,Pro,33.14,33.14
PN1,Pro,34.44,34.44
PN1,Pro,32.34,32.34
PN1,Pro,34.46,34.46
PN1,Pro,34.82,34.82
PN1,Pro,33.72,33.72
PN1,Pro,35.36,35.36
PN1,Pro,36.12,36.12
PN1,Pro,37.06,37.06
PN1,Pro,36.94,36.94
PN1,Pro,29.9,29.9
PN1,Pro,36.86,36.86
PN1,Pro,34.3,34.3
PN1,Pro,33.36,33.36
PN1,Pro,35.48,35.48
PN1,Pro,33,33
PN1,Pro,32.28,32.28
PN1,Pro,32.68,32.68
PN1,Pro,34.7,34.7
PN1,Pro,35.36,35.36
PN1,Pro,32.26,32.26
PN6,Pro,36.68,36.68
PN6,Pro,37.08,37.08
PN6,Pro,31.46,31.46
PN6,Pro,36.7,36.7
PN6,Pro,35.6,35.6
PN6,Pro,38.4,38.4
PN6,Pro,34.46,34.46
PN6,Pro,36.82,36.82
PN6,Pro,34.34,34.34
PN6,Pro,35.26,35.26
PN6,Pro,35.46,35.46
PN6,Pro,30.68,30.68
PN6,Pro,33.8,33.8
PN6,Pro,36.92,36.92
PN6,Pro,38.92,38.92
PN6,Pro,33.2,33.2
PN6,Pro,36,36
PN6,Pro,37.92,37.92
PN6,Pro,36.54,36.54
PN6,Pro,32.54,32.54
PN6,Pro,35.88,35.88
PN6,Pro,34.9,34.9
PN6,Pro,34.2,34.2
PN6,Pro,35.32,35.32
PN6,Pro,36.54,36.54
PN6,Pro,38.16,38.16
PN6,Pro,36.82,36.82
PN6,Pro,33.2,33.2
PN6,Pro,32.92,32.92
PN6,Pro,37.36,37.36
PN6,Pro,34.94,34.94
PN6,Pro,36.78,36.78
PN6,Pro,36.26,36.26
PN6,Pro,34.34,34.34
PN6,Pro,34.8,34.8
PN6,Pro,35.58,35.58
PN6,Pro,34.98,34.98
